id;distancia;velocidad;costo;paths;factor_trafico
35102267;0.1064933;40.0;0.0026623;[35102265, 35102266];1
35102268;0.3046323;40.0;0.0025386333333333334;[35102258, 111919331, 119996447, 156136702];2
35106615;0.8522912;40.0;0.0023674777777777777;[34861547, 35106620, 35106625, 39441400, 39683255, 111895252, 111969037];2
35106619;0.43873019999999996;40.0;0.0018280666666666667;[35106620, 35106629];2
35106620;0.5296748;40.0;0.001471311111111111;[35106615, 35106619, 35106624, 35106630, 35116347, 111903891];3
35106624;0.4714646;40.0;0.0023573400000000003;[35106620, 35106625, 39683255, 111936966];2
35106625;0.1367875;40.0;0.0017098;[35106615, 35106624, 35116254];3
35106629;0.2920658;40.0;0.00182545;[35106619, 35106630];2
35106630;0.1649988;40.0;0.0020625;[35106620, 35106629];2
35116252;0.3369104;40.0;0.0084228;[];0
35116254;0.5672017;40.0;0.0017725;[35106625, 35116257, 35116260, 35116341, 39441400, 111895252];2
35116257;0.267646;40.0;0.0013382399999999999;[35116254, 35116262];3
35116260;0.237492;40.0;0.00148435;[35116254, 35116262];3
35116262;0.19562469999999998;40.0;0.0016302;[35116257, 35116260, 35116341, 111895252];3
35116266;0.0627901;40.0;0.0015698;[35116341, 39441400];3
35116267;0.0647972;40.0;0.0016199;[35116341, 39441400];3
35116338;0.3217059;40.0;0.0026809000000000004;[35116339, 35116341, 39441400];1
35116339;0.3354783;40.0;0.00209675;[35116338, 35116342];2
35116341;0.7264392;40.0;0.0018161;[35116254, 35116262, 35116266, 35116267, 35116338, 35116342];2
35116342;0.1929439;40.0;0.0016078666666666666;[35116339, 35116341];3
35116345;0.065427;40.0;0.0016357;[];3
35116347;1.0819367;40.0;0.0045080833333333336;[35106620, 35116348, 35116349, 39683255];1
35116348;0.1533502;40.0;0.0038338;[35116347, 39683255];1
35116349;0.1532324;40.0;0.0038308;[35116347, 39683255];1
35116488;1.965269;60.0;0.001488840909090909;[24305428, 34861547, 35116498, 35116505, 35139461, 35140114, 35487497, 35487508, 35555582, 35556013, 35556015, 35556415, 39411244, 39441400, 111888007, 111888303, 111890040, 111894212, 111912159];2
35116489;1.9619017;60.0;0.001634925;[24305428, 34861547, 35139891, 35139894, 35139903, 35139904, 35139923, 35487508, 35555582, 35555583, 35556415, 39411244, 39441400, 111888007, 111964583, 111967978];2
35116490;0.2260227;40.0;0.001412625;[28797555, 34861547, 35116493, 111889015];3
35116492;0.1928844;40.0;0.0016073333333333332;[35116493, 35139891, 111907035];3
35116493;0.1861162;40.0;0.0015510000000000003;[35116490, 35116492, 35116494, 111889015];3
35116494;0.2445333;40.0;0.00305665;[28797533, 28797555, 35116493];1
35116495;0.2496589;40.0;0.0012483000000000001;[35116496, 35116498, 35116504, 35116505, 111888303];4
35116496;0.3496041;40.0;0.0014566833333333334;[35116495, 35116500, 35116504];3
35116498;0.300692;40.0;0.001879325;[35116488, 35116495];2
35116499;0.3743967;40.0;0.002339975;[34861547, 35116500, 35116501];2
35116500;0.2215784;40.0;0.001384875;[35116496, 35116499, 35116501, 35116504];3
35116501;0.3579382;40.0;0.0022371;[35116499, 35116500];2
35116504;0.39452719999999997;40.0;0.003287733333333333;[35116495, 35116496, 35116500, 35116505];1
35116505;0.3181832;40.0;0.00198865;[35116488, 35116495, 35116504, 35139450, 35139472];2
35139450;0.2521605;40.0;0.0012607999999999999;[35116505, 35139461, 111890040, 111896888];4
35139459;0.3553943;40.0;0.0014808;[35139462, 35139463, 35139464, 35139465, 35139472, 134910831];3
35139461;0.5176348000000001;40.0;0.0011764454545454546;[35116488, 35139450, 35139462, 35139463, 35139464, 35139465, 35139472, 111930064, 134910831];4
35139462;0.1343415;40.0;0.0033585;[35139459, 35139461];1
35139463;0.1653795;40.0;0.0041345;[35139459, 35139461];1
35139464;0.16097820000000002;40.0;0.00201225;[35139459, 35139461, 35139466];2
35139465;0.1593907;40.0;0.0013282666666666668;[35139459, 35139461, 35139466, 35139467];4
35139466;0.042036;40.0;0.0010509;[35139464, 35139465];4
35139467;0.1450389;40.0;0.001813;[35139465];2
35139471;0.1762302;40.0;0.0014685999999999998;[35139472, 111930064];3
35139472;0.2776376;40.0;0.00173525;[35116505, 35139459, 35139461, 35139471, 111896888];3
35139891;0.2835078;40.0;0.00177195;[28797555, 35116489, 35116492, 35139892, 111915350];2
35139892;0.059683;40.0;0.0014921;[35139891];3
35139893;0.1018015;40.0;0.002545;[28797533, 28797555];2
35139894;0.12349089999999999;40.0;0.0015436;[35116489, 35139895, 35139897, 35139901];3
35139895;0.2610092;40.0;0.0021750666666666666;[35139894, 35139896, 35139901, 35139903];2
35139896;0.1772444;40.0;0.0044311;[28797555, 35139895];1
35139897;0.16693010000000003;40.0;0.00208665;[35139894, 35139903];2
35139901;0.3413604;40.0;0.002844666666666667;[35139894, 35139895, 111942486];1
35139903;0.5248581;60.0;0.0017495400000000002;[28797533, 28797555, 35116489, 35139895, 35139897, 35139904, 111942486];1
35139904;0.5343138;60.0;0.00178104;[28797533, 28797555, 35116489, 35139903, 35139913, 35139921];1
35139913;0.4432555;40.0;0.00277035;[24305428, 35139904, 35139917];1
35139917;0.1324556;40.0;0.0016557;[24305428, 35139913, 35139918];3
